case_id,feedback_id,fault_type,fault_position,true_reason_id,true_reason_type,true_stage,top1_candidate_id,top1_candidate_type,top1_stage,top1_score,top1_hit,top3_hit,top6_hit,type_hit,stage_hit,mrr,primary_stage,primary_stage_name,feedback_target_subsystem,top6_ids,top6_types,top6_scopes,top6_score_sum,root_component_different,has_rca_root_candidate,error
BFB-00307,BFB-00307,rolling_element_fault,rolling_element,BASM-00307,AssemblyRecord,assembly,BASM-00307,AssemblyRecord,assembly,0.8335,True,True,True,True,True,1.0,assembly,装配阶段,装配子系统,BASM-00307|BOPR-00307|BMAN-00778|BINSP-00307|BMAT-00460|BDES-00519,AssemblyRecord|MaintenanceRecord|ManufacturingBatch|InspectionRecord|MaterialBatch|BearingDesignSpec,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate,3.7568339999999996,False,False,
BFB-03892,BFB-03892,inner_race_fault,inner_race,BMAN-00658,ManufacturingBatch,manufacturing,BMAN-00658,ManufacturingBatch,manufacturing,0.8545,True,True,True,True,True,1.0,manufacturing,制造阶段,制造工艺子系统,BMAN-00658|BMAN-00930|BMAN-00115|BMAT-00243|BMAN-00519|BMAN-00306,ManufacturingBatch|ManufacturingBatch|ManufacturingBatch|MaterialBatch|ManufacturingBatch|ManufacturingBatch,lifecycle_candidate|global_same_type_candidate|global_same_type_candidate|lifecycle_candidate|global_same_type_candidate|global_same_type_candidate,3.7413790000000002,False,False,
BFB-04917,BFB-04917,inner_race_fault,inner_race,BINSP-04917,InspectionRecord,inspection,BINSP-04917,InspectionRecord,inspection,0.8275,True,True,True,True,True,1.0,inspection,检测阶段,检测子系统,BINSP-04917|BOPR-04917|BMAT-00268|BASM-04917|BMAN-00732|BDES-00750,InspectionRecord|MaintenanceRecord|MaterialBatch|AssemblyRecord|ManufacturingBatch|BearingDesignSpec,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate,3.9435510000000003,False,False,
BFB-01155,BFB-01155,inner_race_fault,inner_race,BASM-01155,AssemblyRecord,assembly,BASM-01155,AssemblyRecord,assembly,0.8365,True,True,True,True,False,1.0,manufacturing,制造阶段,制造工艺子系统,BASM-01155|BOPR-01155|BMAN-00792|BMAT-00239|BINSP-01155|BMAN-00519,AssemblyRecord|MaintenanceRecord|ManufacturingBatch|MaterialBatch|InspectionRecord|ManufacturingBatch,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate,3.840585,False,False,
BFB-01790,BFB-01790,rolling_element_fault,rolling_element,BMAN-00655,ManufacturingBatch,manufacturing,BMAN-00655,ManufacturingBatch,manufacturing,0.8515,True,True,True,True,True,1.0,manufacturing,制造阶段,制造工艺子系统,BMAN-00655|BASM-01790|BOPR-01790|BMAT-00365|BINSP-01790|BMAN-01041,ManufacturingBatch|AssemblyRecord|MaintenanceRecord|MaterialBatch|InspectionRecord|ManufacturingBatch,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate,3.687188,False,False,
BFB-00330,BFB-00330,rolling_element_fault,rolling_element,BMAT-00438,MaterialBatch,material,BMAT-00438,MaterialBatch,material,0.8455,True,True,True,True,True,1.0,material,材料阶段,材料/供应商管理子系统,BMAT-00438|BMAN-00268|BASM-00330|BINSP-00330|BMAT-00251|BOPR-00330,MaterialBatch|ManufacturingBatch|AssemblyRecord|InspectionRecord|MaterialBatch|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|lifecycle_candidate,3.718398,False,False,
BFB-02927,BFB-02927,outer_race_fault,outer_race,BASM-02927,AssemblyRecord,assembly,BASM-02927,AssemblyRecord,assembly,0.8395,True,True,True,True,True,1.0,assembly,装配阶段,装配子系统,BASM-02927|BOPR-02927|BINSP-02927|BMAT-00472|BMAN-01130|BDES-00534,AssemblyRecord|MaintenanceRecord|InspectionRecord|MaterialBatch|ManufacturingBatch|BearingDesignSpec,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate,3.747906,False,False,
BFB-04582,BFB-04582,inner_race_fault,inner_race,BASM-04582,AssemblyRecord,assembly,BASM-04582,AssemblyRecord,assembly,0.8365,True,True,True,True,True,1.0,assembly,装配阶段,装配子系统,BASM-04582|BMAN-00014|BMAT-00482|BOPR-04582|BINSP-04582|BASM-01141,AssemblyRecord|ManufacturingBatch|MaterialBatch|MaintenanceRecord|InspectionRecord|AssemblyRecord,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate,3.6471299999999998,False,False,
BFB-03309,BFB-03309,outer_race_fault,outer_race,BMAN-01193,ManufacturingBatch,manufacturing,BMAN-01193,ManufacturingBatch,manufacturing,0.8485,True,True,True,True,True,1.0,manufacturing,制造阶段,制造工艺子系统,BMAN-01193|BASM-03309|BMAT-00439|BOPR-03309|BINSP-03309|BMAN-01090,ManufacturingBatch|AssemblyRecord|MaterialBatch|MaintenanceRecord|InspectionRecord|ManufacturingBatch,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate,3.623768,False,False,
BFB-04647,BFB-04647,outer_race_fault,outer_race,BMAN-00475,ManufacturingBatch,manufacturing,BMAN-00475,ManufacturingBatch,manufacturing,0.8485,True,True,True,True,True,1.0,manufacturing,制造阶段,制造工艺子系统,BMAN-00475|BOPR-04647|BMAN-00209|BINSP-04647|BASM-04647|BMAT-00435,ManufacturingBatch|MaintenanceRecord|ManufacturingBatch|InspectionRecord|AssemblyRecord|MaterialBatch,lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate,3.8515900000000003,False,False,
