epoch,loss,sampled_triple_count,may_caused_by_count,device,elapsed_time
1,0.959541,120000,4400,cuda,1.916
2,0.863987,120000,4400,cuda,3.698
3,0.785075,120000,4400,cuda,5.474
4,0.742054,120000,4400,cuda,7.13
5,0.712639,120000,4400,cuda,8.818
6,0.686128,120000,4400,cuda,10.633
7,0.653331,120000,4400,cuda,12.283
8,0.618146,120000,4400,cuda,13.985
9,0.580918,120000,4400,cuda,15.639
10,0.540594,120000,4400,cuda,17.228
11,0.499241,120000,4400,cuda,18.823
12,0.456681,120000,4400,cuda,20.411
13,0.41384,120000,4400,cuda,22.026
14,0.37275,120000,4400,cuda,24.173
15,0.336475,120000,4400,cuda,28.314
16,0.302132,120000,4400,cuda,32.528
17,0.272175,120000,4400,cuda,36.74
18,0.248306,120000,4400,cuda,40.944
19,0.226253,120000,4400,cuda,45.182
20,0.20935,120000,4400,cuda,49.585
21,0.194364,120000,4400,cuda,53.895
22,0.18412,120000,4400,cuda,58.119
23,0.170496,120000,4400,cuda,62.321
24,0.16011,120000,4400,cuda,66.754
25,0.15153,120000,4400,cuda,71.281
26,0.144825,120000,4400,cuda,75.632
27,0.135808,120000,4400,cuda,80.032
28,0.129859,120000,4400,cuda,84.283
29,0.124821,120000,4400,cuda,88.663
30,0.117649,120000,4400,cuda,93.138
31,0.113038,120000,4400,cuda,97.584
32,0.110904,120000,4400,cuda,102.001
33,0.104932,120000,4400,cuda,106.419
34,0.101396,120000,4400,cuda,110.697
35,0.098595,120000,4400,cuda,115.202
36,0.094942,120000,4400,cuda,119.656
37,0.091667,120000,4400,cuda,123.878
38,0.087416,120000,4400,cuda,128.166
39,0.086347,120000,4400,cuda,132.427
40,0.083173,120000,4400,cuda,136.62
41,0.080214,120000,4400,cuda,140.768
42,0.0791,120000,4400,cuda,144.858
43,0.07583,120000,4400,cuda,149.075
44,0.074757,120000,4400,cuda,153.529
45,0.071944,120000,4400,cuda,157.787
46,0.069955,120000,4400,cuda,162.014
47,0.068935,120000,4400,cuda,166.256
48,0.066918,120000,4400,cuda,170.395
49,0.066095,120000,4400,cuda,174.531
50,0.064196,120000,4400,cuda,178.661
51,0.062891,120000,4400,cuda,182.964
52,0.061675,120000,4400,cuda,187.218
53,0.060204,120000,4400,cuda,191.486
54,0.059033,120000,4400,cuda,195.5
55,0.058123,120000,4400,cuda,199.602
56,0.057057,120000,4400,cuda,203.753
57,0.055303,120000,4400,cuda,207.902
58,0.055286,120000,4400,cuda,212.282
59,0.05503,120000,4400,cuda,216.571
60,0.05356,120000,4400,cuda,221.167
61,0.052094,120000,4400,cuda,225.816
62,0.052066,120000,4400,cuda,230.076
63,0.051115,120000,4400,cuda,234.65
64,0.050643,120000,4400,cuda,238.957
65,0.050184,120000,4400,cuda,243.221
66,0.049192,120000,4400,cuda,247.653
67,0.049253,120000,4400,cuda,251.971
68,0.046907,120000,4400,cuda,256.189
69,0.047363,120000,4400,cuda,260.355
70,0.04662,120000,4400,cuda,264.716
71,0.045579,120000,4400,cuda,268.998
72,0.0439,120000,4400,cuda,273.175
73,0.044409,120000,4400,cuda,277.414
74,0.044872,120000,4400,cuda,281.607
75,0.043612,120000,4400,cuda,285.863
76,0.042859,120000,4400,cuda,289.988
77,0.042554,120000,4400,cuda,294.196
78,0.041589,120000,4400,cuda,298.422
79,0.041357,120000,4400,cuda,302.636
80,0.040999,120000,4400,cuda,307.06
81,0.040217,120000,4400,cuda,311.418
82,0.039734,120000,4400,cuda,315.636
83,0.039887,120000,4400,cuda,319.851
84,0.039591,120000,4400,cuda,324.088
85,0.038365,120000,4400,cuda,328.327
86,0.039281,120000,4400,cuda,332.619
87,0.03796,120000,4400,cuda,336.955
88,0.037391,120000,4400,cuda,341.223
89,0.037855,120000,4400,cuda,345.514
90,0.036953,120000,4400,cuda,349.739
91,0.035971,120000,4400,cuda,354.173
92,0.037851,120000,4400,cuda,358.365
93,0.037021,120000,4400,cuda,362.667
94,0.036164,120000,4400,cuda,366.822
95,0.035969,120000,4400,cuda,371.097
96,0.035816,120000,4400,cuda,373.294
97,0.03578,120000,4400,cuda,374.903
98,0.03523,120000,4400,cuda,376.522
99,0.034543,120000,4400,cuda,378.147
100,0.035237,120000,4400,cuda,379.797
