case_id,feedback_id,fault_type,fault_position,true_reason_id,true_reason_type,true_stage,top1_candidate_id,top1_candidate_type,top1_stage,top1_score,top1_hit,top3_hit,top6_hit,type_hit,stage_hit,mrr,primary_stage,primary_stage_name,feedback_target_subsystem,top6_ids,top6_types,top6_scopes,top6_score_sum,root_component_different,has_rca_root_candidate,error
HFB-01502,HFB-01502,pressure_abnormal,过滤器,HOPR-01502,MaintenanceRecord,operation,HOPR-01502,MaintenanceRecord,operation,0.8605,True,True,True,True,True,1.0,operation,使用/运维阶段,运维保障子系统,HOPR-01502|HMAT-00060|OP-H-053|HOPR-04217|HOPR-03375|HOPR-04240,MaintenanceRecord|MaterialBatch|Operator|MaintenanceRecord|MaintenanceRecord|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|expanded_candidate|global_same_type_candidate|global_same_type_candidate|global_same_type_candidate,3.562419,False,False,
HFB-02587,HFB-02587,pressure_abnormal,液压泵总成,HDES-00543,DesignSpec,design,HDES-00543,DesignSpec,design,0.8395,True,True,True,True,False,1.0,operation,使用/运维阶段,运维保障子系统,HDES-00543|HMAN-01167|HOPR-04317|HOPR-03375|HOPR-04240|HASM-02587,DesignSpec|ManufacturingBatch|MaintenanceRecord|MaintenanceRecord|MaintenanceRecord|AssemblyRecord,lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|global_same_type_candidate|global_same_type_candidate|lifecycle_candidate,3.3391859999999998,False,False,
HFB-02654,HFB-02654,flow_abnormal,节流阀,HOPR-02654,MaintenanceRecord,operation,HOPR-02654,MaintenanceRecord,operation,0.8605,True,True,True,True,True,1.0,operation,使用/运维阶段,运维保障子系统,HOPR-02654|HMAN-00318|OP-H-024|HDES-01115|HOPR-03003|HOPR-04240,MaintenanceRecord|ManufacturingBatch|Operator|DesignSpec|MaintenanceRecord|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|expanded_candidate|lifecycle_candidate|global_same_type_candidate|global_same_type_candidate,3.215532,False,False,
HFB-01056,HFB-01056,pressure_abnormal,冷却器,HOPR-01056,MaintenanceRecord,operation,HOPR-01056,MaintenanceRecord,operation,0.8605,True,True,True,True,True,1.0,operation,使用/运维阶段,运维保障子系统,HOPR-01056|HDES-00689|HOPR-02654|OP-H-145|HINSP-01056|HASM-01056,MaintenanceRecord|DesignSpec|MaintenanceRecord|Operator|InspectionRecord|AssemblyRecord,lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|expanded_candidate|lifecycle_candidate|lifecycle_candidate,3.422707,False,False,
HFB-00706,HFB-00706,flow_abnormal,单向阀,HMAN-01102,ManufacturingBatch,manufacturing,HMAN-01102,ManufacturingBatch,manufacturing,0.8305,True,True,True,True,False,1.0,operation,使用/运维阶段,运维保障子系统,HMAN-01102|HASM-00706|HMAT-00021|HOPR-00706|HOPR-04240|HOPR-03375,ManufacturingBatch|AssemblyRecord|MaterialBatch|MaintenanceRecord|MaintenanceRecord|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|global_same_type_candidate|global_same_type_candidate,3.2207000000000003,False,False,
HFB-00107,HFB-00107,oil_leakage,管路总成,HINSP-00107,InspectionRecord,inspection,HINSP-00107,InspectionRecord,inspection,0.8245,True,True,True,True,False,1.0,operation,使用/运维阶段,运维保障子系统,HINSP-00107|HMAT-00526|PROCESS_welding|OP-H-124|HOPR-00107|HOPR-04566,InspectionRecord|MaterialBatch|ManufacturingProcess|Operator|MaintenanceRecord|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|expanded_candidate|expanded_candidate|lifecycle_candidate|global_same_type_candidate,3.2521050000000002,False,False,
HFB-00590,HFB-00590,valve_stuck,溢流阀,HMAN-00889,ManufacturingBatch,manufacturing,HMAN-00889,ManufacturingBatch,manufacturing,0.8425,True,True,True,True,False,1.0,operation,使用/运维阶段,运维保障子系统,HMAN-00889|OP-H-012|HDES-00934|HOPR-04049|HOPR-01240|HMAN-00513,ManufacturingBatch|Operator|DesignSpec|MaintenanceRecord|MaintenanceRecord|ManufacturingBatch,lifecycle_candidate|expanded_candidate|lifecycle_candidate|global_same_type_candidate|global_same_type_candidate|global_same_type_candidate,3.369838,False,False,
HFB-02469,HFB-02469,valve_stuck,节流阀,HASM-02469,AssemblyRecord,assembly,HASM-02469,AssemblyRecord,assembly,0.8305,True,True,True,True,False,1.0,operation,使用/运维阶段,运维保障子系统,HASM-02469|HMAN-01175|HMAT-00216|OP-H-088|HOPR-02987|HOPR-03868,AssemblyRecord|ManufacturingBatch|MaterialBatch|Operator|MaintenanceRecord|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|lifecycle_candidate|expanded_candidate|global_same_type_candidate|global_same_type_candidate,3.326023,False,False,
HFB-02414,HFB-02414,vibration_abnormal,管路总成,HASM-02414,AssemblyRecord,assembly,HASM-02414,AssemblyRecord,assembly,0.8365,True,True,True,True,False,1.0,operation,使用/运维阶段,运维保障子系统,HASM-02414|HOPR-02414|PROCESS_welding|HOPR-01392|OP-H-130|HOPR-01470,AssemblyRecord|MaintenanceRecord|ManufacturingProcess|MaintenanceRecord|Operator|MaintenanceRecord,lifecycle_candidate|lifecycle_candidate|expanded_candidate|global_same_type_candidate|expanded_candidate|global_same_type_candidate,3.097513,False,False,
HFB-01601,HFB-01601,oil_leakage,方向控制阀,HDES-00683,DesignSpec,design,HDES-00683,DesignSpec,design,0.8425,True,True,True,True,False,1.0,material,材料阶段,材料/供应商管理子系统,HDES-00683|HMAT-00135|HMAN-00052|HMAT-00158|HASM-01593|HMAN-01069,DesignSpec|MaterialBatch|ManufacturingBatch|MaterialBatch|AssemblyRecord|ManufacturingBatch,lifecycle_candidate|lifecycle_candidate|rca_root_component_candidate|rca_root_component_candidate|rca_root_component_candidate|rca_root_component_candidate,3.5202839999999997,True,True,
