time,ch1,ch2
0.00E+00,0,0
0.00E+00,0,-0.0024
1.00E-07,0,-0.0016
1.00E-07,0,-0.0024
2.00E-07,0,-0.0032
2.00E-07,0,-0.0024
3.00E-07,0,-0.0056
3.00E-07,0,-0.0056
4.00E-07,0,-0.004
4.00E-07,0,-0.0032
5.00E-07,0,-0.0016
5.00E-07,0,-0.0048
6.00E-07,0,0
6.00E-07,0.04,-0.0032
7.00E-07,0,0
7.00E-07,0,0
8.00E-07,0,0
8.00E-07,0,0.0024
9.00E-07,0,0
9.00E-07,0,0.0016
1.00E-06,0,0.0024
1.00E-06,0,0
1.10E-06,0,0
1.10E-06,0,0
1.20E-06,0,-0.0016
1.20E-06,0,0
1.30E-06,0,-0.0032
1.30E-06,0,-0.0056
1.40E-06,0,-0.004
1.40E-06,0,-0.0056
1.50E-06,0,-0.0032
1.50E-06,0,-0.004
1.60E-06,0,-0.0048
1.60E-06,0,-0.0048
1.70E-06,0,0
1.70E-06,0,-0.004
1.80E-06,0.04,-0.0016
1.80E-06,0,0
1.90E-06,0,-0.0016
1.90E-06,0,0
2.00E-06,0,0
2.00E-06,0,0.0024
2.10E-06,0,0
2.10E-06,0.04,0
2.20E-06,0,0
2.20E-06,0,0
2.30E-06,0,0
2.30E-06,0,-0.004
2.40E-06,0,-0.0016
2.40E-06,0,-0.0048
2.50E-06,0,-0.004
2.50E-06,0,-0.0048
2.60E-06,0,-0.0032
2.60E-06,0,-0.0056
2.70E-06,0,-0.0032
2.70E-06,0,-0.0032
2.80E-06,0,-0.0032
2.80E-06,0,0
2.90E-06,0,-0.0024
2.90E-06,0,0
3.00E-06,0,-0.0016
3.00E-06,0,0.0016
3.10E-06,0.04,-0.0016
3.10E-06,0,0.0016
3.20E-06,0,0
3.20E-06,0,0.0016
3.30E-06,0,0
3.30E-06,0,0
3.40E-06,0,0
3.40E-06,0,0
3.50E-06,0,-0.0048
3.50E-06,0,-0.0024
3.60E-06,0,-0.0048
3.60E-06,0,-0.0024
3.70E-06,0,-0.0064
3.70E-06,0,-0.0024
3.80E-06,0,-0.0056
3.80E-06,0,-0.0048
3.90E-06,0,-0.0024
3.90E-06,0,-0.004
4.00E-06,0.04,0
4.00E-06,0,-0.0016
4.10E-06,0,0
4.10E-06,0,0
