time,ch1,ch2,,,,
0.00E+00,0,-0.004,,,,
0.00E+00,0,0.0016,,,,
1.00E-07,0,-0.0064,,,,
1.00E-07,0,-0.0016,,,,
2.00E-07,0,-0.0016,,,,
2.00E-07,0,-0.0032,,,,
3.00E-07,0,-0.0024,,,,
3.00E-07,0,-0.0024,,,,
4.00E-07,0,-0.0048,,,,
4.00E-07,0,0,,,,
5.00E-07,0,0,,,,
5.00E-07,0,-0.0032,,,,
6.00E-07,0,-0.0016,,,,
6.00E-07,0,-0.0024,,,,
7.00E-07,0,0,,,,
7.00E-07,0,0,,,,
8.00E-07,0,-0.0048,,,,
8.00E-07,0,0,,,,
9.00E-07,0,-0.0032,,,,
9.00E-07,0,-0.0024,,,,
1.00E-06,0,0,,,,
1.00E-06,0.04,-0.004,,,,
1.10E-06,0,-0.0024,,,,
1.10E-06,0,-0.0024,,,,
1.20E-06,0,0.0016,,,,
1.20E-06,0,-0.0056,,,,
1.30E-06,0,0.0016,,,,
1.30E-06,0,-0.0048,,,,
1.40E-06,0,-0.0016,,,,
1.40E-06,0,-0.0024,,,,
1.50E-06,0,0.0032,,,,
1.50E-06,0,-0.0048,,,,
1.60E-06,0,0,,,,
1.60E-06,0,0,,,,
1.70E-06,0,-0.0048,,,,
1.70E-06,0,0.0024,,,,
1.80E-06,0,-0.0024,,,,
1.80E-06,0,0,,,,
1.90E-06,0,0,,,,
1.90E-06,0,-0.004,,,,
2.00E-06,0,0,,,,
2.00E-06,0,-0.0024,,,,
2.10E-06,0,0.0048,,,,
2.10E-06,0,0,,,,
2.20E-06,0,-0.008,,,,
2.20E-06,0,0.0072,,,,
2.30E-06,0,-0.0048,,,,
2.30E-06,0,-0.0072,,,,
2.40E-06,0,0.0088,,,,
2.40E-06,0,-0.0048,,,,
2.50E-06,0,-0.0152,,,,
2.50E-06,0,0.0264,,,,
2.60E-06,0,-0.0264,,,,
2.60E-06,0,-0.0024,,,,
2.70E-06,0,0.0264,,,,
2.70E-06,0,-0.0352,,,,
2.80E-06,0,0.0064,,,,
2.80E-06,0,0.0256,,,,
2.90E-06,0,-0.04,,,,
2.90E-06,0,0.0112,,,,
3.00E-06,0,0.0208,,,,
3.00E-06,0,-0.0464,,,,
3.10E-06,0,0.0304,,,,
3.10E-06,0,0,,,,
3.20E-06,0,-0.0304,,,,
3.20E-06,0,0.02,,,,
3.30E-06,0,0,,,,
3.30E-06,0,-0.032,,,,
3.40E-06,0,0.0304,,,,
3.40E-06,0,-0.0112,,,,
3.50E-06,0,-0.016,,,,
3.50E-06,0,0.0208,,,,
3.60E-06,0,-0.0128,,,,
3.60E-06,0,-0.0024,,,,
3.70E-06,0,0.0048,,,,
3.70E-06,0,-0.0032,,,,
3.80E-06,0,-0.0048,,,,
3.80E-06,0,0.0016,,,,
3.90E-06,0,0.0048,,,,
3.90E-06,0,-0.0112,,,,
