time,ch1,ch2,,
0,0,0,,
0,0,0,,
1E-07,0,-0.0016,,
1E-07,0,0,,
2E-07,0,0,,
2E-07,0,0,,
3E-07,0.04,0.0016,,
3E-07,0,-0.0024,,
4E-07,0,0.0016,,
4E-07,0,0,,
5E-07,0,0,,
5E-07,0,0,,
6E-07,0,0,,
6E-07,0,-0.0016,,
7E-07,0,0.0016,,
7E-07,0,0,,
8E-07,0,0,,
8E-07,0,0,,
9E-07,0,0,,
9E-07,0,0,,
1E-06,0,0,,
1E-06,0,-0.0016,,
0.0000011,0,0,,
0.0000011,0,-0.0016,,
0.0000012,0,0,,
0.0000012,0,0,,
0.0000013,0,0,,
0.0000013,0,-0.0016,,
0.0000014,0,0,,
0.0000014,0.04,0,,
0.0000015,0,-0.0016,,
0.0000015,0,0,,
0.0000016,0,0,,
0.0000016,0,0.0032,,
0.0000017,0,-0.0024,,
0.0000017,0,0.0032,,
0.0000018,0,0,,
0.0000018,0,0,,
0.0000019,0,0,,
0.0000019,0,0,,
0.000002,0,-0.0016,,
0.000002,0,0.0016,,
0.0000021,0,0.0016,,
0.0000021,0,-0.0032,,
0.0000022,0,0,,
0.0000022,0,0,,
0.0000023,0,-0.0016,,
0.0000023,0,0,,
0.0000024,0,-0.0016,,
0.0000024,0,0.0032,,
0.0000025,0,-0.0024,,
0.0000025,0,-0.0032,,
0.0000026,0,0.0048,,
0.0000026,0,0,,
0.0000027,0,0,,
0.0000027,0,-0.0016,,
0.0000028,0,-0.0048,,
0.0000028,0,0.008,,
0.0000029,0,0,,
0.0000029,0,0,,
0.000003,0,0,,
0.000003,0,-0.0016,,
0.0000031,0,0.0032,,
0.0000031,0,-0.0016,,
0.0000032,0,0.0024,,
0.0000032,0,0,,
0.0000033,0,-0.0016,,
0.0000033,0,0,,
0.0000034,0,0,,
0.0000034,0,0.0024,,
0.0000035,0,0,,
0.0000035,0,-0.0032,,
0.0000036,0,-0.0016,,
0.0000036,0,0,,
0.0000037,0,0,,
0.0000037,0,0.0032,,
0.0000038,0,-0.0024,,
0.0000038,0,0,,
0.0000039,0,0,,
0.0000039,0,0,,
0.000004,0,0,,
0.000004,0,0,,
0.0000041,0,0,,
